Name,Host
Analytics_zinnia_qa,zl-data-api.staging.zinnia.com
Deploy-Service,2h9i4578u9.execute-api.us-east-1.amazonaws.com
EAPPS_zinnia_qa,SBTOPETPAPP01Q
ETPAPI_zinnia_qa,SBTOPETPAPP01Q
aggregation-gwsvcs_zinnia_dev,dev-bpm.se2.com
aggregation-gwsvcs_zinnia_qa,qa-bpm.se2.com
aurum-gwsvcs_zinnia_qa,qa-api-int.zinnia.com
background_check_zinnia_qa,background-check-73x2of4glq-uc.a.run.app
call_center_ai_solutions_zinnia_qa,call-center-ai-solutions.staging.loyalty.life
casemanager-gwsvcs_zinnia_qa,qa-bpm.se2.com
cerebrum-transaction-store_zinnia_qa,qa-bpm.se2.com
ciam-audit_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
ciam-fga_zinnia_qa,internal-fga-267453155.us-east-1.elb.amazonaws.com
claims-gwsvcs_zinnia_qa,qa-bpm.se2.com
consumer-experience-terms-and-conditions_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
contact-management_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
customersurvey-outgwsvcs_zinnia_qa,api.delighted.com
dlic-gwsvcs_zinnia_qa,qa-sfsvcs-int.se2.com
dlic-outgwsvcs_zinnia_qa,api-test.delawarelife.com
documents-gwsvcs_zinnia_qa,internal-documentsprivate-alb-502093451.us-east-1.elb.amazonaws.com
electronic_apps_gwsvcs_zinnia_qa_zinnia_qa,SBTOPETPAPP01Q
electronicpresentment,uat.electronicpresentment.com
email-service_zinnia_qa,internal-spectrum-alb-qa-617571603.us-east-1.elb.amazonaws.com
enterprise-communication_zinnia_dev,internal-spectrum-alb-dev-1066710666.us-east-1.elb.amazonaws.com
enterprise-communication_zinnia_qa,internal-spectrum-alb-qa-617571603.us-east-1.elb.amazonaws.com
enterprise-document_zinnia_qa,internal-EDS-ALB-QA-2123052416.us-east-1.elb.amazonaws.com
evidencevendor-outgwsvcs_lexisnexis_zinnia_qa,t.decisioning.lexisnexisrisk.com
evidencevendor-outgwsvcs_mib_zinnia_qa,prodsvc.mib.com
evidencevendor-outgwsvcs_milliman_zinnia_qa,testapi1.millimanintelliscript.com
five9-gwsvcs_zinnia_qa,ivrmicroserviceapi.sbl.com
fund-information-service_zinnia_qa,qa.fund-information-service.zinnia.io
ga-gwsvcs_zinnia_qa,qa-sfsvcs-int.se2.com
glco-gwsvcs_zinnia_qa,qa-data.spectrum.se2.com
illustration-api_zinnia_qa,qa.illustration-service.zinnia.io
kuvare-gwsvcs_zinnia_qa,qa-esbsvcs.se2.com
lifecad_zinnia_qa,qa-lcapi.se2.com
mcs_api_zinnia_prod,mcs-integration.se2.com
mcs_api_zinnia_qa,mcs-integration-qa.se2.com
mm-outgwsvcs_zinnia_qa,apis-r-qa.massmutual.com
nasu-gwsvcs_zinnia_qa,qa-nasusvcs-int.se2.com
new-business_zinnia_qa,qa-bpm.se2.com
orion-api_zinnia_qa,orionapi-qa.zinnia.io
otp-chat-bot_zinnia_qa,qa-bpm.se2.com
otp-external-bpm_zinnia_qa,qa-bpm.se2.com
otp-external-gwsvcs_zinnia_qa,qa-bpm.se2.com
otp-nonfinacial-gwsvcs_zinnia_qa,qa-bpm.se2.com
otp-rule-engine_zinnia_qa,qa-bpm.se2.com
pacl-gwsvcs_zinnia_qa,qa-paclsvcs-int.se2.com
pacl-outgwsvcs_zinnia_qa,qa-api-int.zinnia.com
party-reference_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
plum-gwsvcs_zinnia_qa,qa-esbsvcs.se2.com
poc_qa,qa-api-int.zinnia.com
policies-gwsvcs_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
policy-ref_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
preference-management_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
processmanager-gwsvcs_zinnia_qa,qa-bpm.se2.com
producer-onboarding_zinnia_qa,qa-bpm.se2.com
producer_zinnia_qa,swizzle-api-73x2of4glq-uc.a.run.app
product-rate_zinnia_qa,qa.product-rate-service.zinnia.io
product-service_zinnia_qa,internal-service-lb-581399888.us-east-1.elb.amazonaws.com
rmd-calculation_zinnia_dev,qa.rmd-calculation-service.zinnia.io
rmd-calculation_zinnia_qa,qa.rmd-calculation-service.zinnia.io
sb-gwsvcs_zinnia_qa,qa-api-int.zinnia.com
sb-outgwsvcs_zinnia_qa,qa-api-int.zinnia.com
ulpc-gwsvcs_zinnia_qa,qa-api-int.zinnia.com
uspsaddressvalidation-gwsvcs_zinnia_qa,qa-esbsvcs-int.se2.com
uw-api_zinnia_qa,se2u-data-qa.se2.com
vidadoocr-outgwsvcs_zinnia_qa,shreddr.captricity.com
virtual_agent_zinnia_qa,orchestrator.staging.zinnia.com
webhook-gwsvcs_zinnia_qa,qa-webhook-int.se2.com
zahara-gwsvcs_zinnia_qa,qa-zahara-api.zinnia.io
zinnia-outbound_zinnia_qa,qa-outgoing.apiservices.zinnia.com
zinnia_swizzle_api_zinnia_qa,swizzle-api-73x2of4glq-uc.a.run.app
zinnialive-chatbot-app_zinnia_qa,qa-bpm.se2.com
